tp,pp,dp,mem_req
1,1,128,326.493
1,2,64,164.489
1,4,32,83.487
1,8,16,42.985
1,16,8,22.735
1,32,4,12.61
2,1,64,163.462
2,1,64,163.392
2,2,32,82.458
2,2,32,82.387
2,4,16,41.955
2,4,16,41.885
2,8,8,21.704
2,8,8,21.634
2,16,4,11.579
2,16,4,11.508
2,32,2,6.516
2,32,2,6.446
4,1,32,81.899
4,1,32,81.747
4,2,16,41.395
4,2,16,41.243
4,4,8,21.143
4,4,8,20.99
4,8,4,11.017
4,8,4,10.864
4,16,2,5.954
4,16,2,5.801
4,32,1,3.422
4,32,1,3.27
8,1,16,41.118
8,1,16,40.925
8,2,8,20.864
8,2,8,20.67
8,4,4,10.737
8,4,4,10.543
8,8,2,5.673
8,8,2,5.48
8,16,1,3.141
8,16,1,2.948
16,1,8,20.728
16,1,8,20.514
16,2,4,10.598
16,2,4,10.384
16,4,2,5.533
16,4,2,5.32
16,8,1,3.001
16,8,1,2.787
32,1,4,10.532
32,1,4,10.308
32,2,2,5.465
32,2,2,5.241
32,4,1,2.932
32,4,1,2.708
